centroid-0,centroid-1,axis_major_length,axis_minor_length,area,perimeter,circularity,maskNumber,skewness,Intensity,ImageOrigin,centroid_row_px,centroid_col_px,centroid_x_m,centroid_y_m,major_m,minor_m,area_m2,diameter_m,ParticleID,global_x_m,global_y_m,sample_x_m,sample_y_m
777.719800181653,1857.5404178019985,58.0227456950843,48.64472584748598,2202.0,174.36753236814712,0.9101142946810366,21,1.1927859533426273,0.8650888574234842,Caleb August27_y_0.00534605810575_x_-0.004977146381,777.719800181653,1857.5404178019985,9.674689676052072e-05,4.050623959279442e-05,3.022018004952307e-06,2.533579471223228e-06,5.973307291666666e-12,2.7670422438073007e-06,34,-0.004905399484239479,0.005386564329717794,0.00203360238220567,-0.0011983160144960214
641.9865168539326,630.4898876404494,24.541100723769823,23.135447510447744,445.0,76.76955262170048,0.9488375326685864,23,1.0607575545140115,0.957895087875993,Caleb August27_y_0.00534605810575_x_-0.004977146381,641.9865168539326,630.4898876404494,3.28380149812734e-05,3.343679775280899e-05,1.2781823293630117e-06,1.2049712245024863e-06,1.2071397569444445e-12,1.2410370367358054e-06,35,-0.004969308366018726,0.005379494887877808,0.0019696288580779444,-0.0012047743725599616
961.0067873303168,732.2273755656108,35.864313481676355,31.51154368925058,884.0,110.66904755831214,0.9070052155169224,28,1.1381325470865655,0.8976319606584939,Caleb August27_y_0.00534605810575_x_-0.004977146381,961.0067873303168,732.2273755656108,3.813684247737556e-05,5.005243684012066e-05,1.86793299383731e-06,1.641226233815134e-06,2.3980034722222218e-12,1.7509142276235682e-06,36,-0.004964009538522624,0.00539611052696512,0.0019750862350329866,-0.0011882101318021173
596.2177700348432,1005.7891986062716,28.144064577821595,26.009433543936296,574.0,86.76955262170047,0.9580474954984868,29,1.0820714157530338,0.9448361177356844,Caleb August27_y_0.00534605810575_x_-0.004977146381,596.2177700348432,1005.7891986062716,5.238485409407664e-05,3.1053008855981414e-05,1.4658366967615412e-06,1.354657997080015e-06,1.5570746527777777e-12,1.409151306170269e-06,37,-0.004949761526905923,0.005377111098980981,0.001989152023285835,-0.001207344856769573
999.2818003913894,818.0293542074364,26.759371290701832,24.38227065455687,511.0,80.76955262170047,0.9843179601697664,32,1.0974929968510008,0.963013467407316,Caleb August27_y_0.00534605810575_x_-0.004977146381,999.2818003913894,818.0293542074364,4.2605695531637306e-05,5.20459271037182e-05,1.3937172547240535e-06,1.2699099299248368e-06,1.3861762152777776e-12,1.3303741508619516e-06,38,-0.004959540685468363,0.0053981040172287175,0.001979573935289016,-0.0011862594402673862
576.687969924812,706.3609022556391,19.91613559457267,17.016768005046547,266.0,59.698484809834994,0.9379180277412494,33,1.1703829768770588,0.950035103819838,Caleb August27_y_0.00534605810575_x_-0.004977146381,576.687969924812,706.3609022556391,3.678963032581453e-05,3.003583176691729e-05,1.037298728883993e-06,8.862900002628409e-07,7.215711805555554e-13,9.58826100341057e-07,39,-0.004965356750674185,0.005376093921891916,0.001973547790797693,-0.001208212947818189
1029.5397196261683,646.8621495327103,23.956447064794236,22.765002502516094,428.0,74.76955262170047,0.9620642326388098,34,1.0523366760950918,0.97558607852023,Caleb August27_y_0.00534605810575_x_-0.004977146381,1029.5397196261683,646.8621495327103,3.3690736954828655e-05,5.3621860397196266e-05,1.2477316179580328e-06,1.185677213672713e-06,1.1610243055555553e-12,1.216308738845457e-06,40,-0.004968455644045171,0.005399679950522196,0.0019706744446231724,-0.0011845983809486806
1052.8409638554217,700.3951807228916,23.450487518328416,22.55318091009481,415.0,74.18376618407356,0.9476330628969726,37,1.0397862550657757,0.9049304798985776,Caleb August27_y_0.00534605810575_x_-0.004977146381,1052.8409638554217,700.3951807228916,3.64789156626506e-05,5.483546686746988e-05,1.2213795582462717e-06,1.1746448390674377e-06,1.125759548611111e-12,1.1977842855190786e-06,41,-0.004965667465337349,0.005400893556992469,0.0019734740941325084,-0.0011834114758150192
621.4607843137255,663.2450980392157,23.634005955073647,22.04222657807936,408.0,74.76955262170047,0.9171079600855944,38,1.0722149993039851,0.959369978299214,Caleb August27_y_0.00534605810575_x_-0.004977146381,621.4607843137255,663.2450980392157,3.454401552287581e-05,3.2367749183006536e-05,1.2309378101600855e-06,1.1480326342749664e-06,1.1067708333333331e-12,1.1887627083765464e-06,42,-0.004967602365477124,0.005378425839308006,0.0019713245640866346,-0.0012058596761233182
564.702479338843,1253.256198347107,23.459763805392026,19.7245350141864,363.0,69.35533905932738,0.9483238883742092,39,1.1893696753063712,0.9782662849872306,Caleb August27_y_0.00534605810575_x_-0.004977146381,564.702479338843,1253.256198347107,6.52737603305785e-05,2.9411587465564737e-05,1.221862698197501e-06,1.0273195319888749e-06,9.847005208333333e-13,1.1203764614034517e-06,43,-0.004936872620669421,0.005375469677590564,0.00200202465428105,-0.001209109379202206
92.4842105263158,725.0407894736842,32.98090704980043,29.40171321031327,760.0,102.08326112068522,0.9164618380546669,42,1.1217341933065206,0.9228185885649814,Caleb August27_y_0.00534605810575_x_-0.004977146381,92.4842105263158,725.0407894736842,3.776254111842105e-05,4.816885964912281e-06,1.7177555755104388e-06,1.531339229703816e-06,2.061631944444444e-12,1.6218712957018475e-06,44,-0.0049643838398815785,0.005350874976089911,0.0019742796461061957,-0.0012334400398143395
880.1338289962825,225.01486988847583,19.88248487281077,17.270934256652527,269.0,58.8700576850888,0.9753785964992026,46,1.1512107322828995,0.9436544782518052,Caleb August27_y_0.00534605810575_x_-0.004977146381,880.1338289962825,225.01486988847583,1.1719524473358114e-05,4.584030359355638e-05,1.0355460871255609e-06,8.99527825867319e-07,7.297092013888887e-13,9.651437822093998e-07,45,-0.004990426856526641,0.005391898393718556,0.001948629869134982,-0.0011921696091013434
593.0930232558139,830.8571428571429,20.35469292516442,18.84361847438914,301.0,61.45584412271571,1.0014977618533754,47,1.0801902486419486,0.9665033457048288,Caleb August27_y_0.00534605810575_x_-0.004977146381,593.0930232558139,830.8571428571429,4.327380952380952e-05,3.089026162790698e-05,1.0601402565189802e-06,9.814384622077677e-07,8.165147569444443e-13,1.02003059909129e-06,46,-0.00495887257147619,0.005376948351752907,0.0019800398394533634,-0.0012074205246285572
764.662038873463,1526.129710432368,58.96447648098056,54.45572006184069,2521.0,185.095454429505,0.9246794429953828,5,1.0827967459436705,0.7445176515252623,Caleb August27_y_0.00534605810575_x_-0.005077146381,764.662038873463,1526.129710432368,7.948592241835249e-05,3.982614785799287e-05,3.071066483384404e-06,2.836235419887536e-06,6.83865017361111e-12,2.951316238054523e-06,47,-0.0050226604585816475,0.005385884237982992,0.0019163402633258497,-0.001197875441848889
